site_name,cycle_base,drive_base,walk_base,bus_base,rail_base
allerton-bywater,1.0,72.0,4.0,10.0,5.0
ashton-park,3.0,71.0,13.0,2.0,3.0
aylesbury,2.0,71.0,10.0,5.0,4.0
aylesham,2.0,70.0,10.0,3.0,5.0
bailrigg,5.0,56.0,19.0,8.0,3.0
bath-riverside,5.0,34.0,39.0,9.0,9.0
bicester,4.0,72.0,9.0,4.0,3.0
castlemead,3.0,74.0,11.0,2.0,4.0
chapelford,2.0,82.0,4.0,4.0,2.0
clackers-brook,4.0,74.0,11.0,3.0,1.0
culm,2.0,73.0,10.0,5.0,1.0
dickens-heath,1.0,82.0,3.0,2.0,7.0
didcot,4.0,70.0,9.0,3.0,8.0
dunton-hills,1.0,64.0,5.0,2.0,20.0
ebbsfleet,1.0,58.0,5.0,6.0,24.0
great-kneighton,31.0,35.0,16.0,7.0,8.0
halsnead,1.0,67.0,8.0,7.0,6.0
hampton,6.0,68.0,7.0,7.0,3.0
handforth,2.0,74.0,9.0,3.0,6.0
kidbrooke-village,4.0,30.0,5.0,13.0,43.0
lcid,2.0,32.0,37.0,17.0,5.0
long-marston,1.0,82.0,5.0,3.0,2.0
micklefield,1.0,75.0,4.0,8.0,6.0
newcastle-great-park,2.0,62.0,7.0,14.0,8.0
poundbury,3.0,64.0,23.0,2.0,2.0
priors-hall,3.0,73.0,10.0,2.0,3.0
taunton-firepool,10.0,47.0,31.0,2.0,2.0
taunton-garden,9.0,66.0,13.0,2.0,1.0
tresham,2.0,76.0,10.0,1.0,2.0
trumpington-meadows,22.0,50.0,10.0,6.0,7.0
tyersal-lane,1.0,59.0,13.0,15.0,2.0
upton,2.0,83.0,3.0,3.0,3.0
wichelstowe,4.0,67.0,15.0,6.0,2.0
wixams,3.0,76.0,6.0,4.0,4.0
wynyard,1.0,83.0,5.0,3.0,1.0